題目,A,B,C,D,E,答案,題目代碼
"QUESTION 1 Examine this package: CREATE OR REPLACE PACKAGE BB_PACK IS V_MAX_TEAM_SALARY NUMBER(12,2); PROCEDURE ADD_PLAYER(V_ID IN NUMBER, V_LAST_NAME VARCHAR2, NUMBER); END BB_PACK; / CREATE OR REPLACE PACKAGE BODY BB_PACK IS PROCEDURE UPD_PLAYER_STAT (V_ID IN NUMBER, V_AB IN NUMBER DEFAULT 4, V_HITS IN NUMBER) IS BEGIN UPDATE PLAYER_BAT_STAT SET AT_BATS = AT_BATS + V_AB, HITS = HITS + V_HITS WHERE PLAYER_ID = V_ID; COMMIT; END UPD_PLAYER_STAT; PROCEDURE ADD_PLAYER (V_ID IN NUMBER, V_LAST_NAME VARCHAR2, V_SALARY NUMBER) IS BEGIN INSERT INTO PLAYER(ID,LAST_NAME,SALARY) VALUES (V_ID, V_LAST_NAME, V_SALARY); UPD_PLAYER_STAT(V_ID,0,0); END ADD_PLAYER; END BB_PACK; You make a change to the body of the BB_PACK package. The BB_PACK body is recompiled. What happens if the stand alone procedure VALIDATE_PLAYER_STAT references this package?",(A) VALIDATE_PLAYER_STAT cannot recompile and must be recreated.,(B) VALIDATE_PLAYER_STAT is not invalidated.,(C) VALDIATE_PLAYER_STAT is invalidated.,(D) VALIDATE_PLAYER_STAT and BB_PACK are invalidated.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.1
QUESTION 2 You need to create a trigger on the EMP table that monitors every row that is changed and places this information into the AUDIT_TABLE. What type of trigger do you create?,(A) FOR EACH ROW trigger on the EMP table.,(B) Statement-level trigger on the EMP table.,(C) FOR EACH ROW trigger on the AUDIT_TABLE table.,(D) Statement-level trigger on the AUDIT_TABLE table.,(E) FOR EACH ROW statement-level trigger on the EMPtable.,登入後查看,https://app.yamol.tw/exam/24548?info=item.2
"複選題
QUESTION 3 Which statements are true? (Choose all that apply) ##long not (choose 3)","(A) If errors occur during the compilation of a trigger, the trigger is still created.",(B) If errors occur during the compilation of a trigger you can go into SQL *Plus and query the USER_TRIGGERS data dictionary view to see the compilation errors.,(C) If errors occur during the compilation of a trigger you can use the SHOW ERRORS command within iSQL *Plus to see the compilation errors.,(D) If errors occur during the compilation of a trigger you can go into SQL *Plus and query the USER_ERRORS data dictionary view to see compilation errors.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.3
"複選題
QUESTION 4 Which two dictionary views track dependencies? (Choose two)",(A) USER_SOURCE,(B) UTL_DEPTREE,(C) USER_OBJECTS,(D) DEPTREE_TEMPTAB,(E) USER_DEPENDENCIES (AB). DBA_DEPENDENT_OBJECTS,登入後查看,https://app.yamol.tw/exam/24548?info=item.4
"QUESTION 5 Given a function CALCTAX: long CREATE OR REPLACE FUNCTION calctax (sal NUMBER) RETURN NUMBER IS BEGIN RETURN (sal * 0.05); END; If you want to run the above function from the SQL *Plus prompt, which statement is true? Long",(A) You need to execute the command CALCTAX(1000);.,(B) You need to execute the command EXECUTE FUNCTION calctax;,(C) You need to create a SQL *Plus environment variable X and issue the command :X := CALCTAX(1000);.,(D) You need to create a SQL *Plus environment variable X and issue the command EXECUTE :X := CALCTAX;,(E) You need to create a SQL *Plus environment variable X and issue the command EXECUTE :X := CALCTAX(1000);,登入後查看,https://app.yamol.tw/exam/24548?info=item.5
"QUESTION 6 What happens during the execute phase with dynamic SQL for INSERT, UPDATE, and DELETE operations?",(A) The rows are selected and ordered.,(B) The validity of the SQL statement is established.,(C) An area of memory is established to process the SQL statement.,(D) The SQL statement is run and the number of rows processed is returned.,(E) The area of memory established to process the SQL statement is released.,登入後查看,https://app.yamol.tw/exam/24548?info=item.6
QUESTION 7 What part of a database trigger determines the number of times the trigger body executes? short,(A) Trigger type,(B) Trigger body,(C) Trigger event,(D) Trigger timing,,登入後查看,https://app.yamol.tw/exam/24548?info=item.7
"QUESTION 8 Examine this code: CREATE OR REPLACE FUNCTION gen_email_name (p_first_name VARCHAR2, p_last_name VARCHAR2, p_id NUMBER) RETURN VARCHAR2 is v_email_name VARCHAR2(19); BEGIN v_email_home := SUBSTR(p_first_name, 1, 1) || SUBSTR(p_last_name, 1, 7) || '@Oracle.com'; UPDATE employees SET email = v_email_name WHERE employee_id = p_id; RETURN v_email_name; END; You run this SELECT statement: SELECT first_name, last_name gen_email_name(first_name, last_name, 108) EMAIL FROM employees; What occurs?",(A) Employee 108 has his email name updated based on the return result of the function.,(B) The statement fails because functions called from SQL expressions cannot perform DML.,(C) The statement fails because the functions does not contain code to end the transaction.,"(D) The SQL statement executes successfully, because UPDATE and DELETE statements are ignoring in stored functions called from SQL expressions.",(E) The SQL statement executes successfully and control is passed to the calling environment.,登入後查看,https://app.yamol.tw/exam/24548?info=item.8
QUESTION 9 Which table should you query to determine when your procedure was last compiled?,(A) USER_PROCEDURES,(B) USER_PROCS,(C) USER_OBJECTS,(D) USER_PLSQL_UNITS,,登入後查看,https://app.yamol.tw/exam/24548?info=item.9
"QUESTION 10 Examine this code: CREATE OR REPLACE TRIGGER secure_emp BEFORE LOGON ON employees BEGIN IF (TO_CHAR(SYSDATE, 'DY') IN ('SAT', 'SUN')) OR (TO_CHAR(SYSDATE, 'HH24:MI') NOT BETWEEN '08:00' AND '18:00') THEN RAISE_APPLICATION_ERROR (-20500, 'You may insert into the EMPLOYEES table only during business hours.'); END IF; END; / What type of trigger is it? long",(A) DML trigger,(B) INSTEAD OF trigger,(C) Application trigger,(D) System event trigger,(E) This is an invalid trigger.,登入後查看,https://app.yamol.tw/exam/24548?info=item.10
